Name,Pass,Points Final,Points Pass,Grade,Details,Wire,Tgroove,Case,Wind,Modex,Airframe,Carrier Type,Carrier Name,Theatre,Mission Time,Mission Date,OS Date
Fritter,15,n/a,2.5,-- (BOLTER),FLOLURX SLOLOLURIM  /F(H)LURIC H(LUL)AR,n/a,22.1,1,25.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:24:27+0,2006/2/24,Sun Aug 18 21:35:01 2019
Fritter,16,n/a,1.0,WO,_SLOLUR_X _SLO_(LO)_LUR_IM  (LO)_LUR_IC _FH_(LUL)AR,n/a,n/a,1,27.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:26:48+0,2006/2/24,Sun Aug 18 21:37:22 2019
Fritter,17,1.8,2.0,--,_F_LURX F(H)LURIM  FHLULIC SLO(H)LULAR,3,22.8,1,26.2,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:29:30+0,2006/2/24,Sun Aug 18 21:40:04 2019
Fritter,18,2,2.0,--,_F_(H)X SLOIM  SLO(LUL)IC SLO(LUL)AR,3,22.7,1,26.5,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:05:34+0,2006/2/24,Tue Aug 20 22:08:00 2019
Fritter,19,2,2.0,--,SLO(H)LULX _SLO_(LO)LURIM  F(LO)IC F(H)AR,3,23.7,1,29.9,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:09:50+0,2006/2/24,Tue Aug 20 22:12:15 2019
Fritter,20,2,2.0,--,F_LUR_X (SLO)LURIM  (SLO)HLULIC (SLOH)LULAR,2,22.5,1,26.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:13:51+0,2006/2/24,Tue Aug 20 22:16:17 2019
Fritter,21,2,2.0,--,_F_(LO)_LUR_X _FLUR_IM  FHLULIC _HLUL_AR,2,21.7,1,27.5,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:17:39+0,2006/2/24,Tue Aug 20 22:20:05 2019
Fritter,22,n/a,2.5,-- (BOLTER),F(LO)LURX (FLO)IM  F(H)LULIC H_LUL_AR,n/a,23.6,1,25.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:29:25+0,2006/2/24,Tue Aug 20 22:31:51 2019
Fritter,23,2.8,3.0,(OK),SLOLURX FLURIM  FHLULIC (SLO)HLULAR,3,23.7,1,26.7,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:31:51+0,2006/2/24,Tue Aug 20 22:34:18 2019
Fritter,24,2,2.0,--,F(H)_LUR_X F(H)LURIM  SLOH(LUR)IC _SLO_H(LUL)AR,4,23.1,1,27,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:08:04+0,2006/2/24,Tue Aug 27 08:48:49 2019
Fritter,25,n/a,2.5,-- (BOLTER),SLOLURX (SLOLUR)IM  (SLOH)IC SLOHAR,n/a,24.3,1,25.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:06:38+0,2006/2/24,Tue Aug 27 08:57:58 2019
Fritter,26,2.8,3.0,(OK),FLURX F(LUR)IM  SLO(H)LULIC HLULAR,4,23.1,1,26.6,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:09:06+0,2006/2/24,Tue Aug 27 09:07:04 2019
Fritter,27,3,3.0,(OK),F(LUR)X SLO(LUR)IM  (SLO)HLURIC HLURAR,4,22.8,1,26.7,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:05:26+0,2006/2/24,Sun Sep  1 12:32:47 2019
Fritter,28,2,2.0,--,(F)_LUR_X FLURIM  FHLURIC (SLO)_H_LURAR,2,22.6,1,27,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:09:29+0,2006/2/24,Sun Sep  1 12:36:51 2019
Fritter,29,3,3.0,(OK),FLURX (SLOLUR)IM  (FHLUR)IC (H)LURAR,3,23.1,1,26.8,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:12:55+0,2006/2/24,Sun Sep  1 12:40:17 2019
Fritter,30,3,3.0,(OK),SLOLURX F(LO)IM  SLOH(LUR)IC SLOH(LUR)AR,2,23.7,1,26.8,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:16:30+0,2006/2/24,Sun Sep  1 12:43:52 2019
Fritter,31,2,2.0,--,_F_(LO)_LUR_X (FLO)LURIM  (SLOH)IC SLOHAR,3,23.2,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:19:54+0,2006/2/24,Sun Sep  1 12:47:16 2019
Fritter,32,n/a,1.0,WO,LIG,n/a,n/a,1,27.7,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:23:03+0,2006/2/24,Sun Sep  1 12:50:25 2019
Fritter,33,1.5,2.0,--,F(LUR)X F(LUL)IM  F_H_(LUL)IC _H_LULAR,4,23.3,1,26.9,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:26:08+0,2006/2/24,Sun Sep  1 12:53:30 2019
Fritter,34,2,2.0,--,_F_(LOLUR)X (FLUL)IM  SLOHLULIC SLO_H_LULAR,3,22.3,1,28.4,200,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:17:11+0,1998/3/11,Tue Sep 10 21:24:27 2019
Fritter,35,2,2.0,--,FX (SLOLUL)IM  SLO(H)LULIC (SLO)H_LUL_AR,3,22.7,1,26.4,200,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:21:21+0,1998/3/11,Tue Sep 10 21:28:37 2019
Fritter,36,3,3.0,(OK),SLOLO(LUR)X FLOIM  SLO(LOLUL)IC (SLOHLUL)AR,3,22.5,1,26.8,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:36:38+0,1998/3/11,Thu Sep 19 23:08:34 2019
Fritter,37,n/a,2.5,-- (BOLTER),_FLO_(LUR)X FLOIM  /(FHLUL)IC (F)H(LUL)AR,n/a,21.9,1,27.5,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:41:47+0,1998/3/11,Thu Sep 19 23:13:44 2019
Fritter,38,2.3,2.0,--,_F_LOX _SLO_IM  (FH)LULIC (HLUL)AR,2,22.5,1,26.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:44:02+0,1998/3/11,Thu Sep 19 23:15:58 2019
Fritter,39,3,3.0,(OK),(SLO)X (SLOLUR)IM  (SLO)LURIC LURAR,2,n/a,3,20.7,204,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,Caucasus,18:18:33+0,1998/1/24,Mon Sep 23 22:30:52 2019
Fritter,40,n/a,2.5,-- (BOLTER),SLOLURX (FLOLUR)IM  F(HLUR)IC SLOH(LUR)AR,n/a,24.4,1,26.6,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:04:57+0,1998/3/11,Mon Sep 23 22:46:25 2019
Fritter,41,2.3,2.0,--,(F)LO_LUR_X SLOLO_LUR_IM  (FLO)LULIC LULAR,3,23.6,1,26.4,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:07:21+0,1998/3/11,Mon Sep 23 22:50:00 2019
Fritter,42,2,2.0,--,_F_(LO)_LUR_X F(LO)_LUR_IM  F(LO)LURIC (SLO)AR,3,18.7,1,27.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:03:44+0,1998/3/11,Tue Sep 24 00:52:26 2019
Fritter,43,2,2.0,--,SLOLOLURX _F_LO(LUR)IM  _F_LOLULIC FLULAR,3,19.7,1,25.9,100,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:11:17+0,1998/3/11,Sat Oct  5 00:11:26 2019
Fritter,44,3,3.0,(OK),(FHLUL)X (FHLUL)IM  SLO(HLUL)IC SLOH(LUL)AR,3,n/a,3,27.1,912,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,19:18:11+0,1998/3/11,Sat Oct 12 23:19:39 2019
